Programme Code,Total Placed,Male,Female,Year
1253182,51,27,24,2018
1253187,7,6,1,2018
1253188,9,1,8,2018
1253189,81,35,46,2018
1253194,20,12,8,2018
1253201,237,131,106,2018
1253215,3,3,0,2018
1253222,57,19,38,2018
1253229,2,2,0,2018
1253234,55,18,37,2018
1253237,42,11,31,2018
1253260,1,1,0,2018
1253293,1,1,0,2018
1253299,76,48,28,2018
1253324,82,32,50,2018
1253326,25,11,14,2018
1253327,80,29,51,2018
1253331,148,111,37,2018
1253337,34,7,27,2018
1253415,8,3,5,2018
1253418,110,80,30,2018
1253428,20,14,6,2018
1253435,1,0,1,2018
1253450,81,19,62,2018
1253490,45,30,15,2018
1253491,6,6,0,2018
1253492,35,23,12,2018
1253493,40,23,17,2018
1253494,103,36,67,2018
1253495,13,4,9,2018
1253496,34,24,10,2018
1253561,22,7,15,2018
1253594,4,2,2,2018
1253598,10,3,7,2018
1253599,41,25,16,2018
1253600,46,39,7,2018
1253616,41,30,11,2018
1253617,41,30,11,2018
1253621,54,17,37,2018
1253646,111,63,48,2018
1253656,8,3,5,2018
1253697,41,32,9,2018
1253718,41,36,5,2018
1253101,247,122,125,2019
1253107,30,18,12,2019
1253112,27,16,11,2019
1253115,38,31,7,2019
1253120,172,122,50,2019
1253123,24,10,14,2019
1253128,10,7,3,2019
1253131,55,34,21,2019
1253132,29,17,12,2019
1253134,51,25,26,2019
1253135,517,245,272,2019
1253137,155,105,50,2019
1253144,99,35,64,2019
1253150,56,36,20,2019
1253151,224,123,101,2019
1253157,65,28,37,2019
1253161,2,1,1,2019
1253164,56,37,19,2019
1253166,26,11,15,2019
1253169,10,4,6,2019
1253171,85,31,54,2019
1253182,51,23,28,2019
1253187,15,11,4,2019
1253188,27,8,19,2019
1253189,80,38,42,2019
1253194,20,12,8,2019
1253201,204,101,103,2019
1253215,11,7,4,2019
1253222,55,19,36,2019
1253229,10,2,8,2019
1253234,55,17,38,2019
1253237,79,24,55,2019
1253260,21,10,11,2019
1253292,13,8,5,2019
1253293,10,9,1,2019
1253299,63,42,21,2019
1253324,85,43,42,2019
1253326,67,23,44,2019
1253327,79,48,31,2019
1253331,152,118,34,2019
1253334,104,59,45,2019
1253337,77,25,52,2019
1253415,25,21,4,2019
1253418,108,79,29,2019
1253428,19,15,4,2019
1253435,8,4,4,2019
1253450,82,23,59,2019
1253490,46,32,14,2019
1253491,6,5,1,2019
1253492,35,18,17,2019
1253493,21,14,7,2019
1253494,103,50,53,2019
1253495,30,9,21,2019
1253496,51,32,19,2019
1253561,30,8,22,2019
1253594,14,11,3,2019
1253598,80,52,28,2019
1253599,42,24,18,2019
1253600,43,35,8,2019
1253616,40,31,9,2019
1253617,41,35,6,2019
1253621,77,34,43,2019
1253646,113,71,42,2019
1253656,150,54,96,2019
1253697,40,29,11,2019
1253718,44,36,8,2019
1253101,252,113,139,2020
1253107,28,16,12,2020
1253112,48,29,19,2020
1253115,36,30,6,2020
1253120,200,144,56,2020
1253123,23,12,11,2020
1253128,20,14,6,2020
1253131,57,34,23,2020
1253132,29,17,12,2020
1253134,49,22,27,2020
1253135,513,259,254,2020
1253137,158,88,70,2020
1253144,103,32,71,2020
1253150,56,31,25,2020
1253151,230,120,110,2020
1253157,65,32,33,2020
1253161,14,6,8,2020
1253164,82,51,31,2020
1253166,30,11,19,2020
1253169,9,4,5,2020
1253171,99,29,70,2020
1253181,101,48,53,2020
1253187,44,26,18,2020
1253188,27,15,12,2020
1253189,81,34,47,2020
1253194,51,26,25,2020
1253201,213,113,100,2020
1253215,38,28,10,2020
1253222,55,23,32,2020
1253229,22,12,10,2020
1253234,55,22,33,2020
1253237,82,27,55,2020
1253260,26,15,11,2020
1253292,84,60,24,2020
1253293,24,19,5,2020
1253299,79,53,26,2020
1253324,83,29,54,2020
1253326,70,29,41,2020
1253327,81,41,40,2020
1253331,183,131,52,2020
1253334,100,52,48,2020
1253337,80,24,56,2020
1253415,58,38,20,2020
1253418,105,73,32,2020
1253428,20,14,6,2020
1253435,31,22,9,2020
1253450,53,17,36,2020
1253490,51,35,16,2020
1253493,61,27,34,2020
1253494,97,44,53,2020
1253495,30,8,22,2020
1253496,50,29,21,2020
1253561,28,11,17,2020
1253594,14,10,4,2020
1253598,79,57,22,2020
1253599,40,28,12,2020
1253600,45,35,10,2020
1253616,43,33,10,2020
1253617,40,31,9,2020
1253621,82,31,51,2020
1253646,108,63,45,2020
1253656,150,64,86,2020
1253697,43,35,8,2020
1253718,40,31,9,2020
1253101,386,195,191,2021
1253107,30,16,14,2021
1253112,52,26,26,2021
1253115,37,29,8,2021
1253120,134,89,45,2021
1253123,24,13,11,2021
1253128,15,10,5,2021
1253131,57,38,19,2021
1253132,41,22,19,2021
1253134,61,28,33,2021
1253135,620,297,323,2021
1253137,181,125,56,2021
1253144,139,58,81,2021
1253150,59,37,22,2021
1253151,246,142,104,2021
1253157,63,29,34,2021
1253164,79,52,27,2021
1253166,32,10,22,2021
1253169,13,3,10,2021
1253171,115,52,63,2021
1253187,10,4,6,2021
1253188,32,19,13,2021
1253189,98,47,51,2021
1253194,40,29,11,2021
1253201,285,120,165,2021
1253215,9,7,2,2021
1253222,67,25,42,2021
1253229,12,6,6,2021
1253234,47,22,25,2021
1253237,114,45,69,2021
1253260,25,10,15,2021
1253292,92,58,34,2021
1253293,29,15,14,2021
1253299,25,17,8,2021
1253324,90,35,55,2021
1253326,79,28,51,2021
1253327,78,47,31,2021
1253331,110,74,36,2021
1253334,149,85,64,2021
1253337,90,35,55,2021
1253415,57,35,22,2021
1253418,98,69,29,2021
1253428,39,26,13,2021
1253435,59,29,30,2021
1253450,71,28,43,2021
1253490,49,34,15,2021
1253493,20,14,6,2021
1253494,122,66,56,2021
1253495,30,8,22,2021
